"index";"date";"time";"A";"B";"All"
"398";2019-10-27;13;"2019-10-27 13:00:00.000";370;48
"399";2019-10-27;14;"2019-10-27 14:00:00.000";370;52
"400";2019-10-27;15;"2019-10-27 15:00:00.000";370;63
"401";2019-10-27;16;"2019-10-27 16:00:00.000";370;71
"402";2019-10-27;17;"2019-10-27 17:00:00.000";370;59
"403";2019-10-27;18;"2019-10-27 18:00:00.000";370;48
"404";2019-10-27;19;"2019-10-27 19:00:00.000";370;27
"405";2019-10-27;20;"2019-10-27 20:00:00.000";370;2
"406";2019-10-27;21;NA;NA;NA
"407";2019-10-27;22;NA;NA;NA
"408";2019-10-27;23;NA;NA;NA
"409";2019-10-28;0;NA;NA;NA
"410";2019-10-28;1;NA;NA;NA
"411";2019-10-28;2;NA;NA;NA
"412";2019-10-28;3;NA;NA;NA
"413";2019-10-28;4;NA;NA;NA
"414";2019-10-28;5;NA;NA;NA
"415";2019-10-28;6;NA;NA;NA
"416";2019-10-28;7;NA;NA;NA
"417";2019-10-28;8;NA;NA;NA
"418";2019-10-28;9;NA;NA;NA
"419";2019-10-28;10;"2019-10-28 10:00:00.000";370;33
"420";2019-10-28;11;"2019-10-28 11:00:00.000";370;26
"421";2019-10-28;12;"2019-10-28 12:00:00.000";370;33
"422";2019-10-28;13;"2019-10-28 13:00:00.000";370;24
"423";2019-10-28;14;"2019-10-28 14:00:00.000";370;33
"424";2019-10-28;15;"2019-10-28 15:00:00.000";370;28
"425";2019-10-28;16;"2019-10-28 16:00:00.000";370;38
"426";2019-10-28;17;"2019-10-28 17:00:00.000";370;34
"427";2019-10-28;18;"2019-10-28 18:00:00.000";370;31
"428";2019-10-28;19;"2019-10-28 19:00:00.000";370;24
"429";2019-10-28;20;"2019-10-28 20:00:00.000";370;1
"430";2019-10-28;21;NA;NA;NA
"431";2019-10-28;22;NA;NA;NA
"432";2019-10-28;23;NA;NA;NA
"433";2019-10-29;0;NA;NA;NA
"434";2019-10-29;1;NA;NA;NA
"435";2019-10-29;2;NA;NA;NA
"436";2019-10-29;3;NA;NA;NA
"437";2019-10-29;4;NA;NA;NA
"438";2019-10-29;5;NA;NA;NA
"439";2019-10-29;6;NA;NA;NA
"440";2019-10-29;7;NA;NA;NA
"441";2019-10-29;8;NA;NA;NA
"442";2019-10-29;9;NA;NA;NA
"443";2019-10-29;10;"2019-10-29 10:00:00.000";370;19
"444";2019-10-29;11;"2019-10-29 11:00:00.000";370;28
"445";2019-10-29;12;"2019-10-29 12:00:00.000";370;19
"446";2019-10-29;13;"2019-10-29 13:00:00.000";370;31
"447";2019-10-29;14;"2019-10-29 14:00:00.000";370;18
"448";2019-10-29;15;"2019-10-29 15:00:00.000";370;30
"449";2019-10-29;16;"2019-10-29 16:00:00.000";370;31
"450";2019-10-29;17;"2019-10-29 17:00:00.000";370;36
"451";2019-10-29;18;"2019-10-29 18:00:00.000";370;28
"452";2019-10-29;19;"2019-10-29 19:00:00.000";370;22
"453";2019-10-29;20;"2019-10-29 20:00:00.000";370;1
"454";2019-10-29;21;NA;NA;NA
"455";2019-10-29;22;NA;NA;NA
"456";2019-10-29;23;NA;NA;NA
"457";2019-10-30;0;NA;NA;NA
"458";2019-10-30;1;NA;NA;NA
"459";2019-10-30;2;NA;NA;NA
"460";2019-10-30;3;NA;NA;NA
"461";2019-10-30;4;NA;NA;NA
"462";2019-10-30;5;NA;NA;NA
"463";2019-10-30;6;NA;NA;NA
"464";2019-10-30;7;NA;NA;NA
"465";2019-10-30;8;NA;NA;NA
"466";2019-10-30;9;NA;NA;NA
"467";2019-10-30;10;"2019-10-30 10:00:00.000";370;32
"468";2019-10-30;11;"2019-10-30 11:00:00.000";370;44
"469";2019-10-30;12;"2019-10-30 12:00:00.000";370;52
"470";2019-10-30;13;"2019-10-30 13:00:00.000";370;27
"471";2019-10-30;14;"2019-10-30 14:00:00.000";370;35
"472";2019-10-30;15;"2019-10-30 15:00:00.000";370;28
"473";2019-10-30;16;"2019-10-30 16:00:00.000";370;27
"474";2019-10-30;17;"2019-10-30 17:00:00.000";370;37
"475";2019-10-30;18;"2019-10-30 18:00:00.000";370;37
"476";2019-10-30;19;"2019-10-30 19:00:00.000";370;21
"477";2019-10-30;20;"2019-10-30 20:00:00.000";370;1
"478";2019-10-30;21;NA;NA;NA
"479";2019-10-30;22;NA;NA;NA
"480";2019-10-30;23;NA;NA;NA
"481";2019-10-31;0;NA;NA;NA
"482";2019-10-31;1;NA;NA;NA
"483";2019-10-31;2;NA;NA;NA
"484";2019-10-31;3;NA;NA;NA
"485";2019-10-31;4;NA;NA;NA
"486";2019-10-31;5;NA;NA;NA
"487";2019-10-31;6;NA;NA;NA
"488";2019-10-31;7;NA;NA;NA
"489";2019-10-31;8;NA;NA;NA
"490";2019-10-31;9;NA;NA;NA
"491";2019-10-31;10;"2019-10-31 10:00:00.000";370;25
"492";2019-10-31;11;"2019-10-31 11:00:00.000";370;44
"493";2019-10-31;12;"2019-10-31 12:00:00.000";370;26
"494";2019-10-31;13;"2019-10-31 13:00:00.000";370;35
"495";2019-10-31;14;"2019-10-31 14:00:00.000";370;27
"496";2019-10-31;15;"2019-10-31 15:00:00.000";370;29
"497";2019-10-31;16;"2019-10-31 16:00:00.000";370;45
"498";2019-10-31;17;"2019-10-31 17:00:00.000";370;33
"499";2019-10-31;18;"2019-10-31 18:00:00.000";370;37
"500";2019-10-31;19;"2019-10-31 19:00:00.000";370;27
"501";2019-10-31;20;"2019-10-31 20:00:00.000";370;2
"502";2019-10-31;21;NA;NA;NA
"503";2019-10-31;22;NA;NA;NA
"504";2019-10-31;23;NA;NA;NA
"505";2019-11-01;0;NA;NA;NA
"506";2019-11-01;1;NA;NA;NA
"507";2019-11-01;2;NA;NA;NA
"508";2019-11-01;3;NA;NA;NA
"509";2019-11-01;4;NA;NA;NA
"510";2019-11-01;5;NA;NA;NA
"511";2019-11-01;6;NA;NA;NA
"512";2019-11-01;7;NA;NA;NA
"513";2019-11-01;8;NA;NA;NA
"514";2019-11-01;9;NA;NA;NA
"515";2019-11-01;10;"2019-11-01 10:00:00.000";370;45
"516";2019-11-01;11;"2019-11-01 11:00:00.000";370;53
"517";2019-11-01;12;"2019-11-01 12:00:00.000";370;47
"518";2019-11-01;13;"2019-11-01 13:00:00.000";370;35
"519";2019-11-01;14;"2019-11-01 14:00:00.000";370;39
"520";2019-11-01;15;"2019-11-01 15:00:00.000";370;40
"521";2019-11-01;16;"2019-11-01 16:00:00.000";370;48
"522";2019-11-01;17;"2019-11-01 17:00:00.000";370;30
"523";2019-11-01;18;"2019-11-01 18:00:00.000";370;41
"524";2019-11-01;19;"2019-11-01 19:00:00.000";370;40
"525";2019-11-01;20;"2019-11-01 20:00:00.000";370;7
"526";2019-11-01;21;NA;NA;NA
"527";2019-11-01;22;NA;NA;NA
"528";2019-11-01;23;NA;NA;NA
"529";2019-11-02;0;NA;NA;NA
"530";2019-11-02;1;NA;NA;NA
"531";2019-11-02;2;NA;NA;NA
"532";2019-11-02;3;NA;NA;NA
"533";2019-11-02;4;NA;NA;NA
"534";2019-11-02;5;NA;NA;NA
"535";2019-11-02;6;NA;NA;NA
"536";2019-11-02;7;NA;NA;NA
"537";2019-11-02;8;NA;NA;NA
"538";2019-11-02;9;NA;NA;NA
"539";2019-11-02;10;"2019-11-02 10:00:00.000";370;44
"540";2019-11-02;11;"2019-11-02 11:00:00.000";370;58
"541";2019-11-02;12;"2019-11-02 12:00:00.000";370;57
"542";2019-11-02;13;"2019-11-02 13:00:00.000";370;48
"543";2019-11-02;14;"2019-11-02 14:00:00.000";370;45
"544";2019-11-02;15;"2019-11-02 15:00:00.000";370;50
